Group,Catagory,Code,Long Description,Short Description
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A0021,"Ambulance service, outside state per mile, transport (medicaid only)",Outside state ambulance serv
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A0080,"Non-emergency transportation, per mile - vehicle provided by volunteer (individual or organization), with no vested interest",Noninterest escort in non er
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A0090,"Non-emergency transportation, per mile - vehicle provided by individual (family member, self, neighbor) with vested interest",Interest escort in non er
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A0100,Non-emergency transportation; taxi,Nonemergency transport taxi
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A0110,"Non-emergency transportation and bus, intra or inter state carrier",Nonemergency transport bus
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A0120,"Non-emergency transportation: mini-bus, mountain area transports, or other transportation systems",Noner transport mini-bus
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A0130,Non-emergency transportation: wheelchair van,Noner transport wheelch van
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A0140,Non-emergency transportation and air travel (private or commercial) intra or inter state,Nonemergency transport air
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A0160,Non-emergency transportation: per mile - case worker or social worker,Noner transport case worker
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A0170,"Transportation ancillary: parking fees, tolls, other",Transport parking fees/tolls
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A0180,Non-emergency transportation: ancillary: lodging-recipient,Noner transport lodgng recip
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A0190,Non-emergency transportation: ancillary: meals-recipient,Noner transport meals recip
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A0200,Non-emergency transportation: ancillary: lodging escort,Noner transport lodgng escrt
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A0210,Non-emergency transportation: ancillary: meals-escort,Noner transport meals escort
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A0225,"Ambulance service, neonatal transport, base rate, emergency transport, one way",Neonatal emergency transport
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A0380,Bls mileage (per mile),Basic life support mileage
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A0382,Bls routine disposable supplies,Basic support routine suppls
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A0384,Bls specialized service disposable supplies; defibrillation (used by als ambulances and bls ambulances in jurisdictions where defibrillation is permitted in bls ambulances),Bls defibrillation supplies
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A0390,Als mileage (per mile),Advanced life support mileag
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A0392,Als specialized service disposable supplies; defibrillation (to be used only in jurisdictions where defibrillation cannot be performed in bls ambulances),Als defibrillation supplies
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A0394,Als specialized service disposable supplies; iv drug therapy,Als iv drug therapy supplies
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A0396,Als specialized service disposable supplies; esophageal intubation,Als esophageal intub suppls
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A0398,Als routine disposable supplies,Als routine disposble suppls
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A0420,"Ambulance waiting time (als or bls), one half (1/2) hour increments",Ambulance waiting 1/2 hr
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A0422,"Ambulance (als or bls) oxygen and oxygen supplies, life sustaining situation",Ambulance 02 life sustaining
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A0424,"Extra ambulance attendant, ground (als or bls) or air (fixed or rotary winged); (requires medical review)",Extra ambulance attendant
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A0425,"Ground mileage, per statute mile",Ground mileage
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A0426,"Ambulance service, advanced life support, non-emergency transport, level 1 (als 1)",Als 1
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A0427,"Ambulance service, advanced life support, emergency transport, level 1 (als 1 - emergency)",Als1-emergency
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A0428,"Ambulance service, basic life support, non-emergency transport, (bls)",Bls
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A0429,"Ambulance service, basic life support, emergency transport (bls-emergency)",Bls-emergency
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A0430,"Ambulance service, conventional air services, transport, one way (fixed wing)",Fixed wing air transport
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A0431,"Ambulance service, conventional air services, transport, one way (rotary wing)",Rotary wing air transport
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A0432,"Paramedic intercept (pi), rural area, transport furnished by a volunteer ambulance company which is prohibited by state law from billing third party payers",Pi volunteer ambulance co
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A0433,"Advanced life support, level 2 (als 2)",Als 2
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A0434,Specialty care transport (sct),Specialty care transport
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A0435,"Fixed wing air mileage, per statute mile",Fixed wing air mileage
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A0436,"Rotary wing air mileage, per statute mile",Rotary wing air mileage
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A0888,"Noncovered ambulance mileage, per mile (e.g., for miles traveled beyond closest appropriate facility)",Noncovered ambulance mileage
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A0998,"Ambulance response and treatment, no transport",Ambulance response/treatment
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A0999,Unlisted ambulance service,Unlisted ambulance service
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A2001,"Innovamatrix ac, per square centimeter","Innovamatrix ac, per sq cm"
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A2002,"Mirragen advanced wound matrix, per square centimeter",Mirragen adv wnd mat per sq
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A2004,"Xcellistem, per square centimeter","Xcellistem, per sq cm"
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A2005,"Microlyte matrix, per square centimeter","Microlyte matrix, per sq cm"
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A2006,"Novosorb synpath dermal matrix, per square centimeter",Novosorb synpath per sq cm
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A2007,"Restrata, per square centimeter","Restrata, per sq cm"
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A2008,"Theragenesis, per square centimeter","Theragenesis, per sq cm"
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A2009,"Symphony, per square centimeter","Symphony, per sq cm"
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A2010,"Apis, per square centimeter","Apis, per square centimeter"
